"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 11:52:48 GMT 2024","Sun Nov 17 11:52:48 GMT 2024","410","Actions","","","","",".submit() - submit a form",""
"passed","Sun Nov 17 11:53:04 GMT 2024","Sun Nov 17 11:53:04 GMT 2024","275","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Sun Nov 17 11:53:12 GMT 2024","Sun Nov 17 11:53:12 GMT 2024","112","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Sun Nov 17 11:52:51 GMT 2024","Sun Nov 17 11:52:52 GMT 2024","782","Actions","","","","",".check() - check a checkbox or radio element",""
"passed","Sun Nov 17 11:52:39 GMT 2024","Sun Nov 17 11:52:39 GMT 2024","249","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Sun Nov 17 11:54:30 GMT 2024","Sun Nov 17 11:54:30 GMT 2024","207","Waiting","","","","","cy.wait() - wait for a specific route",""
"passed","Sun Nov 17 11:54:03 GMT 2024","Sun Nov 17 11:54:03 GMT 2024","187","Local Storage / Session Storage","","","","","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
"passed","Sun Nov 17 11:53:58 GMT 2024","Sun Nov 17 11:53:58 GMT 2024","20","Spies, Stubs, and Clock","","","","","matches call arguments using Sinon matchers",""
"passed","Sun Nov 17 11:53:05 GMT 2024","Sun Nov 17 11:53:05 GMT 2024","110","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Sun Nov 17 11:53:29 GMT 2024","Sun Nov 17 11:53:30 GMT 2024","89","Location","","","","","cy.location() - get window.location",""
"passed","Sun Nov 17 11:54:14 GMT 2024","Sun Nov 17 11:54:14 GMT 2024","297","Utilities","","","","","Cypress._ - call a lodash method",""
"passed","Sun Nov 17 11:53:30 GMT 2024","Sun Nov 17 11:53:30 GMT 2024","81","Location","","","","","cy.url() - get the current URL",""
"passed","Sun Nov 17 11:53:11 GMT 2024","Sun Nov 17 11:53:11 GMT 2024","123","Connectors","","","","",".its() - get properties on the current subject",""
"passed","Sun Nov 17 11:54:10 GMT 2024","Sun Nov 17 11:54:10 GMT 2024","120","Traversal","","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Sun Nov 17 11:54:08 GMT 2024","Sun Nov 17 11:54:08 GMT 2024","111","Traversal","","","","",".find() - get descendant DOM elements of the selector",""
"passed","Sun Nov 17 11:53:45 GMT 2024","Sun Nov 17 11:53:45 GMT 2024","225","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Sun Nov 17 11:53:21 GMT 2024","Sun Nov 17 11:53:22 GMT 2024","90","Cypress APIs","Cypress.platform","","","","Get underlying OS name",""
"passed","Sun Nov 17 11:54:02 GMT 2024","Sun Nov 17 11:54:02 GMT 2024","504","Local Storage / Session Storage","","","","","cy.clearLocalStorage() - clear all data in localStorage for the current origin",""
"passed","Sun Nov 17 11:53:51 GMT 2024","Sun Nov 17 11:53:51 GMT 2024","96","Querying","","","","","cy.root() - query the root DOM element",""
"passed","Sun Nov 17 11:54:03 GMT 2024","Sun Nov 17 11:54:03 GMT 2024","170","Local Storage / Session Storage","","","","","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins",""
"passed","Sun Nov 17 11:52:50 GMT 2024","Sun Nov 17 11:52:51 GMT 2024","210","Actions","","","","",".dblclick() - double click on a DOM element",""
"passed","Sun Nov 17 11:53:45 GMT 2024","Sun Nov 17 11:53:45 GMT 2024","147","Network Requests","","","","","cy.request() with query parameters",""
"passed","Sun Nov 17 11:52:39 GMT 2024","Sun Nov 17 11:52:39 GMT 2024","255","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Sun Nov 17 11:54:09 GMT 2024","Sun Nov 17 11:54:10 GMT 2024","114","Traversal","","","","",".prev() - get previous sibling DOM element",""
"passed","Sun Nov 17 11:54:07 GMT 2024","Sun Nov 17 11:54:07 GMT 2024","112","Traversal","","","","",".closest() - get closest ancestor DOM element",""
"passed","Sun Nov 17 11:53:50 GMT 2024","Sun Nov 17 11:53:50 GMT 2024","125","Querying","","","","","cy.contains() - query DOM elements with matching content",""
"passed","Sun Nov 17 11:53:05 GMT 2024","Sun Nov 17 11:53:05 GMT 2024","106","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Sun Nov 17 11:52:37 GMT 2024","Sun Nov 17 11:52:38 GMT 2024","352","example to-do app","","","","","displays two todo items by default",""
"passed","Sun Nov 17 11:54:10 GMT 2024","Sun Nov 17 11:54:10 GMT 2024","104","Traversal","","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Sun Nov 17 11:54:14 GMT 2024","Sun Nov 17 11:54:16 GMT 2024","1091","Utilities","","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Sun Nov 17 11:53:33 GMT 2024","Sun Nov 17 11:53:34 GMT 2024","740","Misc","","","","","cy.exec() - execute a system command",""
"passed","Sun Nov 17 11:52:54 GMT 2024","Sun Nov 17 11:52:54 GMT 2024","154","Actions","","","","",".scrollIntoView() - scroll an element into view",""
"passed","Sun Nov 17 11:53:36 GMT 2024","Sun Nov 17 11:53:36 GMT 2024","89","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Sun Nov 17 11:53:26 GMT 2024","Sun Nov 17 11:53:26 GMT 2024","107","Files","","","","","cy.readFile() - read file contents",""
"passed","Sun Nov 17 11:52:43 GMT 2024","Sun Nov 17 11:52:47 GMT 2024","3681","Actions","","","","",".type() - type into a DOM element",""
"passed","Sun Nov 17 11:52:38 GMT 2024","Sun Nov 17 11:52:39 GMT 2024","177","example to-do app","","","","","can check off an item as completed",""
"passed","Sun Nov 17 11:54:33 GMT 2024","Sun Nov 17 11:54:33 GMT 2024","215","Window","","","","","cy.window() - get the global window object",""
"passed","Sun Nov 17 11:53:11 GMT 2024","Sun Nov 17 11:53:11 GMT 2024","265","Connectors","","","","",".each() - iterate over an array of elements",""
"passed","Sun Nov 17 11:53:51 GMT 2024","Sun Nov 17 11:53:51 GMT 2024","99","Querying","","","","",".within() - query DOM elements within a specific element",""
"passed","Sun Nov 17 11:52:54 GMT 2024","Sun Nov 17 11:52:54 GMT 2024","183","Actions","","","","",".trigger() - trigger an event on a DOM element",""
"passed","Sun Nov 17 11:53:00 GMT 2024","Sun Nov 17 11:53:00 GMT 2024","337","Aliasing","","","","",".as() - alias a DOM element for later use",""
"passed","Sun Nov 17 11:53:12 GMT 2024","Sun Nov 17 11:53:12 GMT 2024","97","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Sun Nov 17 11:54:19 GMT 2024","Sun Nov 17 11:54:22 GMT 2024","2745","Viewport","","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Sun Nov 17 11:53:05 GMT 2024","Sun Nov 17 11:53:07 GMT 2024","1589","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Sun Nov 17 11:53:16 GMT 2024","Sun Nov 17 11:53:17 GMT 2024","202","Cookies","","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Sun Nov 17 11:53:39 GMT 2024","Sun Nov 17 11:53:40 GMT 2024","884","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Sun Nov 17 11:53:12 GMT 2024","Sun Nov 17 11:53:12 GMT 2024","105","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Sun Nov 17 11:54:33 GMT 2024","Sun Nov 17 11:54:33 GMT 2024","82","Window","","","","","cy.document() - get the document object",""
"passed","Sun Nov 17 11:53:21 GMT 2024","Sun Nov 17 11:53:21 GMT 2024","93","Cypress APIs","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Sun Nov 17 11:54:25 GMT 2024","Sun Nov 17 11:54:30 GMT 2024","4413","Waiting","","","","","cy.wait() - wait for a specific amount of time",""
"passed","Sun Nov 17 11:54:08 GMT 2024","Sun Nov 17 11:54:08 GMT 2024","126","Traversal","","","","",".first() - get first DOM element",""
"passed","Sun Nov 17 11:53:55 GMT 2024","Sun Nov 17 11:53:58 GMT 2024","2534","Spies, Stubs, and Clock","","","","","cy.spy() retries until assertions pass",""
"passed","Sun Nov 17 11:54:09 GMT 2024","Sun Nov 17 11:54:09 GMT 2024","106","Traversal","","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Sun Nov 17 11:54:09 GMT 2024","Sun Nov 17 11:54:09 GMT 2024","108","Traversal","","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Sun Nov 17 11:53:34 GMT 2024","Sun Nov 17 11:53:35 GMT 2024","95","Misc","","","","","cy.wrap() - wrap an object",""
"passed","Sun Nov 17 11:53:22 GMT 2024","Sun Nov 17 11:53:22 GMT 2024","89","Cypress APIs","Cypress.spec","","","","Get current spec information",""
"passed","Sun Nov 17 11:53:58 GMT 2024","Sun Nov 17 11:53:58 GMT 2024","15","Spies, Stubs, and Clock","","","","","cy.stub() matches depending on arguments",""
"passed","Sun Nov 17 11:53:22 GMT 2024","Sun Nov 17 11:53:22 GMT 2024","92","Cypress APIs","Cypress.version","","","","Get current version of Cypress being run",""
"passed","Sun Nov 17 11:53:17 GMT 2024","Sun Nov 17 11:53:17 GMT 2024","128","Cookies","","","","","cy.clearAllCookies() - clear all browser cookies",""
"passed","Sun Nov 17 11:53:45 GMT 2024","Sun Nov 17 11:53:45 GMT 2024","223","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Sun Nov 17 11:52:47 GMT 2024","Sun Nov 17 11:52:48 GMT 2024","507","Actions","","","","",".clear() - clears an input or textarea element",""
"passed","Sun Nov 17 11:53:05 GMT 2024","Sun Nov 17 11:53:05 GMT 2024","105","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Sun Nov 17 11:54:14 GMT 2024","Sun Nov 17 11:54:14 GMT 2024","218","Utilities","","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Sun Nov 17 11:54:39 GMT 2024","Sun Nov 17 11:54:40 GMT 2024","886","Localstack login tests","","","","","should fail login",""
"passed","Sun Nov 17 11:54:07 GMT 2024","Sun Nov 17 11:54:07 GMT 2024","244","Traversal","","","","",".children() - get child DOM elements",""
"passed","Sun Nov 17 11:53:11 GMT 2024","Sun Nov 17 11:53:11 GMT 2024","112","Connectors","","","","",".invoke() - invoke a function on the current subject",""
"passed","Sun Nov 17 11:53:58 GMT 2024","Sun Nov 17 11:53:58 GMT 2024","239","Spies, Stubs, and Clock","","","","","cy.tick() - move time in the browser",""
"passed","Sun Nov 17 11:53:25 GMT 2024","Sun Nov 17 11:53:26 GMT 2024","91","Files","","","","","cy.fixture() or require - load a fixture",""
"passed","Sun Nov 17 11:53:25 GMT 2024","Sun Nov 17 11:53:25 GMT 2024","323","Files","","","","","cy.fixture() - load a fixture",""
"passed","Sun Nov 17 11:53:46 GMT 2024","Sun Nov 17 11:53:47 GMT 2024","876","Network Requests","","","","","cy.intercept() - route responses to matching requests",""
